                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                  3.936,                 5.5941,                 5.0059,                0.16004,                0.15054,                0.09821,                0.03956,                 3.2175,                 3.3532,                  3.262,                  2e-05,                  2e-05,                  2e-05
                      1,                 4.1192,                 5.3756,                 5.3105,                0.15149,                0.13978,                  0.093,                0.03912,                 3.2265,                 3.4994,                 3.3304,             5.9406e-05,             5.9406e-05,             5.9406e-05
                      2,                 3.6158,                 4.7765,                 4.7366,                0.15149,                0.13978,                  0.093,                0.03912,                 3.2265,                 3.4994,                 3.3304,              9.802e-05,              9.802e-05,              9.802e-05
                      3,                 3.7525,                  5.012,                  4.612,                0.13502,                 0.2043,                0.10966,                0.04208,                 3.1763,                 3.0487,                 3.1074,             0.00013584,             0.00013584,             0.00013584
                      4,                 3.9312,                 4.3491,                 4.1262,                0.13502,                 0.2043,                0.10966,                0.04208,                 3.1763,                 3.0487,                 3.1074,             0.00017287,             0.00017287,             0.00017287
                      5,                 3.9929,                 5.4335,                 4.2411,                0.13181,                 0.1828,                0.09378,                0.03742,                 3.1464,                 3.2353,                 3.1084,             0.00020911,             0.00020911,             0.00020911
                      6,                 3.3041,                 4.5865,                 3.7855,                0.13181,                 0.1828,                0.09378,                0.03742,                 3.1464,                 3.2353,                 3.1084,             0.00024456,             0.00024456,             0.00024456
                      7,                 3.3802,                 4.2106,                 4.5391,                0.13181,                 0.1828,                0.09378,                0.03742,                 3.1464,                 3.2353,                 3.1084,             0.00027921,             0.00027921,             0.00027921
                      8,                 2.7988,                 3.1787,                 3.2456,                  0.205,                0.25806,                0.17075,                0.05918,                 3.1779,                 2.3284,                 2.8224,             0.00031307,             0.00031307,             0.00031307
                      9,                 2.7299,                 2.8266,                 2.9147,                  0.205,                0.25806,                0.17075,                0.05918,                 3.1779,                 2.3284,                 2.8224,             0.00034614,             0.00034614,             0.00034614
                     10,                 3.1526,                 32.365,                 3.7457,                  0.205,                0.25806,                0.17075,                0.05918,                 3.1779,                 2.3284,                 2.8224,             0.00037842,             0.00037842,             0.00037842
                     11,                 3.0382,                 2.9264,                 3.0432,                  0.205,                0.25806,                0.17075,                0.05918,                 3.1779,                 2.3284,                 2.8224,             0.00040991,             0.00040991,             0.00040991
                     12,                  2.878,                 3.0131,                 3.0035,                0.28135,                0.23656,                0.19002,                0.06823,                 3.0115,                 2.2858,                 2.4689,              0.0004406,              0.0004406,              0.0004406
                     13,                 2.5169,                 2.3243,                 2.6626,                0.28135,                0.23656,                0.19002,                0.06823,                 3.0115,                 2.2858,                 2.4689,              0.0004705,              0.0004705,              0.0004705
                     14,                  2.673,                 1.9834,                 2.3522,                0.28135,                0.23656,                0.19002,                0.06823,                 3.0115,                 2.2858,                 2.4689,             0.00049961,             0.00049961,             0.00049961
                     15,                 2.7542,                 2.3891,                 2.7005,                0.28135,                0.23656,                0.19002,                0.06823,                 3.0115,                 2.2858,                 2.4689,             0.00052793,             0.00052793,             0.00052793
                     16,                 2.5292,                 2.0946,                 2.5594,                0.28135,                0.23656,                0.19002,                0.06823,                 3.0115,                 2.2858,                 2.4689,             0.00055546,             0.00055546,             0.00055546
