                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 3.7906,                 5.0016,                 5.0951,                0.15856,                0.15054,                0.09823,                0.03956,                   3.22,                 3.3566,                 3.2583,                  2e-05,                  2e-05,                  2e-05
                      1,                 3.7464,                 4.1006,                 5.0603,                0.15241,                0.13978,                0.09339,                0.04024,                 3.2321,                 3.4687,                 3.3226,             5.9406e-05,             5.9406e-05,             5.9406e-05
                      2,                 3.6696,                 4.4242,                 4.8855,                0.15241,                0.13978,                0.09339,                0.04024,                 3.2321,                 3.4687,                 3.3226,              9.802e-05,              9.802e-05,              9.802e-05
                      3,                 3.6817,                 4.6927,                 5.0191,                0.16564,                0.13978,                0.10833,                0.04706,                 3.1789,                 3.2791,                 3.1503,             0.00013584,             0.00013584,             0.00013584
                      4,                 3.8784,                 3.9709,                 4.2549,                0.16564,                0.13978,                0.10833,                0.04706,                 3.1789,                 3.2791,                 3.1503,             0.00017287,             0.00017287,             0.00017287
                      5,                 4.0412,                 4.8837,                 4.6529,                0.13405,                0.16129,                 0.0909,                0.04083,                 3.1501,                  3.446,                 3.1822,             0.00020911,             0.00020911,             0.00020911
                      6,                 3.5503,                 4.2365,                 4.3304,                0.13405,                0.16129,                 0.0909,                0.04083,                 3.1501,                  3.446,                 3.1822,             0.00024456,             0.00024456,             0.00024456
                      7,                 3.3146,                 3.7591,                 4.8953,                0.13405,                0.16129,                 0.0909,                0.04083,                 3.1501,                  3.446,                 3.1822,             0.00027921,             0.00027921,             0.00027921
                      8,                 2.8555,                 3.0709,                 3.5385,                0.18261,                0.22581,                0.12514,                0.05214,                 3.0605,                 2.5912,                 2.8248,             0.00031307,             0.00031307,             0.00031307
                      9,                 2.8335,                 2.6888,                 3.1111,                0.18261,                0.22581,                0.12514,                0.05214,                 3.0605,                 2.5912,                 2.8248,             0.00034614,             0.00034614,             0.00034614
                     10,                 3.1268,                  23.01,                 3.6164,                0.18261,                0.22581,                0.12514,                0.05214,                 3.0605,                 2.5912,                 2.8248,             0.00037842,             0.00037842,             0.00037842
                     11,                 2.9521,                 2.8554,                 3.2007,                0.18261,                0.22581,                0.12514,                0.05214,                 3.0605,                 2.5912,                 2.8248,             0.00040991,             0.00040991,             0.00040991
                     12,                 2.8929,                 2.9316,                 2.9839,                0.29804,                0.31183,                0.19871,                0.08682,                 2.7586,                 2.0793,                   2.44,              0.0004406,              0.0004406,              0.0004406
                     13,                 2.5955,                 2.4367,                 2.7372,                0.29804,                0.31183,                0.19871,                0.08682,                 2.7586,                 2.0793,                   2.44,              0.0004705,              0.0004705,              0.0004705
                     14,                 2.6862,                 1.9333,                 2.5114,                0.29804,                0.31183,                0.19871,                0.08682,                 2.7586,                 2.0793,                   2.44,             0.00049961,             0.00049961,             0.00049961
                     15,                 2.7781,                 2.3366,                 2.7299,                0.29804,                0.31183,                0.19871,                0.08682,                 2.7586,                 2.0793,                   2.44,             0.00052793,             0.00052793,             0.00052793
                     16,                 2.4905,                 2.1506,                 2.6043,                0.29804,                0.31183,                0.19871,                0.08682,                 2.7586,                 2.0793,                   2.44,             0.00055546,             0.00055546,             0.00055546
                     17,                 2.4614,                 1.9796,                 2.4738,                0.29804,                0.31183,                0.19871,                0.08682,                 2.7586,                 2.0793,                   2.44,             0.00058219,             0.00058219,             0.00058219
                     18,                 2.6524,                 1.9832,                 2.4638,                0.10278,                0.21505,                0.07882,                0.02034,                 3.2394,                 2.6534,                 2.5432,             0.00060813,             0.00060813,             0.00060813
                     19,                 2.6219,                 2.0522,                 2.4895,                0.10278,                0.21505,                0.07882,                0.02034,                 3.2394,                 2.6534,                 2.5432,             0.00063328,             0.00063328,             0.00063328
